eeid,full_name,job_title,department,business_unit,gender,ethnicity,age,hire_date,annual_salary,bonus_percent,country,city,exit_date
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,56,01/09/2012,"$146,140",10%,Brazil,Manaus,NA
E04732,Eva Rivera,Director,Sales,Manufacturing,Female,Latino,36,04/02/2021,"$151,703",21%,United States,Miami,NA
E03484,Logan Rivera,Director,IT,Research & Development,Male,Latino,59,05/24/2002,"$172,787",28%,Brazil,Rio de Janerio,NA
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,09/05/2019,"$49,998",0%,United States,Seattle,NA
E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,03/02/2014,"$207,172",31%,China,Chongqing,NA
E02206,Jose Henderson,Director,Human Resources,Speciality Products,Male,Black,41,04/17/2015,"$152,239",23%,United States,Columbus,NA
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,56,02/05/2005,"$98,581",0%,Brazil,Rio de Janerio,NA
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,06/07/2004,"$246,231",31%,United States,Seattle,NA
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,64,12/04/1996,"$99,354",12%,China,Beijing,NA
E00304,Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,05/11/2012,"$231,141",34%,China,Beijing,NA
E02594,Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,Asian,28,06/25/2017,"$54,775",0%,United States,Columbus,NA
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,05/16/2004,"$55,499",0%,Brazil,Manaus,NA
E01994,Angel Powell,Analyst II,Sales,Research & Development,Male,Caucasian,61,07/11/2008,"$66,521",0%,United States,Seattle,NA
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,09/29/2016,"$59,100",0%,China,Chongqing,NA
E03247,Caroline Jenkins,Analyst,Finance,Research & Development,Female,Caucasian,27,05/06/2018,"$49,011",0%,United States,Chicago,NA
E02074,Nora Brown,Enterprise Architect,IT,Manufacturing,Female,Caucasian,32,02/11/2014,"$99,575",0%,United States,Austin,NA
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,12/16/2019,"$99,989",0%,China,Chengdu,NA
E01628,Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,27,10/20/2019,"$256,420",30%,United States,Phoenix,NA
E04285,Riley Padilla,Technical Architect,IT,Manufacturing,Female,Latino,35,05/15/2013,"$78,940",0%,United States,Miami,NA
E01417,Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,57,01/03/1994,"$82,872",0%,Brazil,Manaus,NA
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,05/29/2017,"$86,317",0%,China,Chengdu,7/16/2017
E03749,Kennedy Foster,Manager,Marketing,Speciality Products,Female,Caucasian,53,11/23/2013,"$113,135",5%,United States,Austin,NA
E03574,John Moore,Vice President,IT,Speciality Products,Male,Caucasian,52,11/08/2005,"$199,808",32%,United States,Seattle,NA
E04600,William Vu,Account Representative,Sales,Speciality Products,Male,Asian,37,11/14/2013,"$56,037",0%,China,Shanghai,NA
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,05/24/2019,"$122,350",12%,United States,Phoenix,NA
E03538,Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,Caucasian,40,11/04/2010,"$92,952",0%,United States,Seattle,NA
E02185,Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,Latino,32,03/20/2013,"$79,921",5%,United States,Austin,NA
E03830,Eva Coleman,Director,IT,Research & Development,Female,Black,37,09/20/2009,"$167,199",20%,United States,Seattle,NA
E03720,Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,Caucasian,52,10/17/2012,"$71,476",0%,United States,Phoenix,NA
E03025,Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,45,10/29/2014,"$189,420",20%,United States,Seattle,NA
E04917,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,64,10/20/2001,"$64,057",0%,United States,Phoenix,NA
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,09/21/2021,"$68,728",0%,United States,Phoenix,NA
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,25,07/02/2021,"$125,633",11%,China,Beijing,NA
E04207,John Contreras,Analyst II,Marketing,Manufacturing,Male,Latino,35,05/15/2011,"$66,889",0%,United States,Columbus,NA
E02139,Rylee Yu,Director,Accounting,Research & Development,Female,Asian,36,09/29/2015,"$178,700",29%,United States,Seattle,NA
E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,12/22/2018,"$83,990",0%,United States,Chicago,NA
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,12/10/2005,"$102,043",0%,United States,Chicago,NA
E01633,Addison Do,Operations Engineer,Engineering,Manufacturing,Female,Asian,46,05/30/2001,"$90,678",0%,United States,Columbus,NA
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,Black,46,08/21/2008,"$59,067",0%,United States,Miami,NA
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,03/11/2021,"$135,062",15%,China,Chengdu,NA
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,08/16/2006,"$159,044",10%,Brazil,Manaus,NA
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,01/02/2019,"$74,691",0%,Brazil,Manaus,7/8/2020
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,12/18/2008,"$92,753",13%,United States,Austin,6/24/2021
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,08/07/2013,"$236,946",37%,United States,Seattle,NA
E03824,Penelope Coleman,Analyst,Finance,Corporate,Female,Black,36,08/27/2021,"$48,906",0%,United States,Miami,NA
E03906,Piper Richardson,Sr. Analyst,Sales,Corporate,Female,Caucasian,38,01/27/2008,"$80,024",0%,United States,Columbus,NA
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,10/23/2009,"$54,415",0%,United States,Seattle,1/22/2014
E04798,Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,30,04/24/2016,"$120,341",7%,United States,Seattle,NA
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,08/04/2009,"$208,415",35%,United States,Seattle,NA
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,01/05/2020,"$78,844",0%,United States,Seattle,NA
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,05/23/2002,"$76,354",0%,United States,Phoenix,9/26/2021
E01499,Jade Rojas,Director,Finance,Speciality Products,Female,Latino,37,01/28/2019,"$165,927",20%,United States,Phoenix,NA
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,11/16/2021,"$109,812",9%,Brazil,Manaus,NA
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,09/03/1998,"$86,299",0%,United States,Seattle,NA
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,07/26/2003,"$206,624",40%,Brazil,Sao Paulo,NA
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,12/23/2010,"$53,215",0%,Brazil,Sao Paulo,3/27/2014
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,05/22/2017,"$86,858",0%,China,Chongqing,10/8/2017
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,07/02/2007,"$93,971",8%,China,Chongqing,NA
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,06/27/2015,"$57,008",0%,United States,Phoenix,NA
E02166,John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,60,09/23/2015,"$141,899",15%,United States,Phoenix,NA
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,09/13/2016,"$64,847",0%,United States,Miami,NA
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,04/08/1992,"$116,878",11%,United States,Miami,NA
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,02/05/2005,"$70,505",0%,United States,Austin,NA
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,05/22/2016,"$189,702",28%,Brazil,Manaus,12/21/2020
E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,07/28/2020,"$180,664",27%,United States,Chicago,NA
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,12/17/2003,"$48,345",0%,China,Chengdu,NA
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,01/16/2014,"$152,214",30%,China,Beijing,NA
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,04/28/2009,"$69,803",0%,Brazil,Manaus,NA
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,07/04/2019,"$76,588",0%,Brazil,Rio de Janerio,NA
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,29,12/10/2018,"$84,596",0%,United States,Miami,NA
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,09/25/2018,"$114,441",10%,China,Chongqing,12/22/2019
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,04/21/2018,"$140,402",15%,China,Beijing,NA
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,04/23/2019,"$59,817",0%,Brazil,Sao Paulo,NA
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,07/22/2017,"$55,854",0%,United States,Austin,NA
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,11/16/2002,"$95,998",0%,United States,Seattle,NA
E01427,Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,Asian,34,04/22/2015,"$154,941",13%,United States,Phoenix,NA
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,07/10/2011,"$247,022",30%,China,Beijing,NA
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,10/05/2021,"$88,072",0%,Brazil,Sao Paulo,NA
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,05/26/2020,"$67,925",8%,China,Shanghai,NA
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,08/20/2020,"$219,693",30%,United States,Austin,NA
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,04/22/2013,"$61,773",0%,United States,Seattle,NA
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,01/09/2007,"$74,546",9%,United States,Seattle,NA
E04959,Noah King,Development Engineer,Engineering,Speciality Products,Male,Black,56,01/27/2015,"$62,575",0%,United States,Miami,NA
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,02/23/2021,"$199,041",16%,China,Beijing,NA
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,04/05/2007,"$52,310",0%,United States,Miami,10/12/2018
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,64,06/29/2013,"$159,571",10%,United States,Columbus,NA
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,50,10/23/1997,"$91,763",0%,United States,Austin,NA
E03875,Aurora Simmons,Development Engineer,Engineering,Corporate,Female,Caucasian,51,12/22/1995,"$96,475",0%,United States,Austin,NA
E04413,Andrew Thomas,Controls Engineer,Engineering,Manufacturing,Male,Caucasian,36,12/02/2016,"$113,781",0%,United States,Columbus,NA
E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,01/15/2003,"$166,599",26%,United States,Seattle,NA
E03047,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,Asian,41,02/15/2005,"$95,372",0%,China,Shanghai,NA
E04903,Skylar Liu,Director,IT,Research & Development,Female,Asian,29,08/09/2020,"$161,203",15%,China,Chengdu,NA
E04735,Nova Coleman,System Administrator ,IT,Manufacturing,Female,Caucasian,44,12/13/2006,"$74,738",0%,United States,Miami,NA
E02850,Evelyn Dinh,Director,Sales,Research & Development,Female,Asian,41,08/10/2018,"$171,173",21%,United States,Columbus,NA
E03583,Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,61,09/24/2019,"$201,464",37%,United States,Chicago,NA
E02017,Connor Joseph,Director,Human Resources,Corporate,Male,Caucasian,50,07/22/1998,"$174,895",15%,United States,Chicago,NA
E01642,Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,49,04/18/2006,"$134,486",14%,United States,Austin,NA
E04379,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,Latino,60,02/24/2007,"$71,699",0%,Brazil,Manaus,NA
E04131,Cora Rivera,Sr. Analyst,Marketing,Corporate,Female,Latino,42,01/02/2021,"$94,430",0%,United States,Seattle,NA
E02872,Liam Jung,Manager,Finance,Corporate,Male,Asian,39,01/14/2010,"$103,504",7%,China,Chengdu,NA
E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,55,08/09/2005,"$92,771",0%,United States,Miami,NA
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,39,04/06/2006,"$71,531",0%,United States,Columbus,NA
E04267,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,28,03/06/2019,"$90,304",0%,United States,Chicago,NA
E03061,Vivian Lewis,Manager,Marketing,Manufacturing,Female,Caucasian,65,09/07/2011,"$104,903",10%,United States,Columbus,NA
E00013,Elena Vang,Analyst,Finance,Corporate,Female,Asian,52,02/19/2019,"$55,859",0%,China,Beijing,NA
E04265,Natalia Diaz,Operations Engineer,Engineering,Corporate,Female,Latino,62,10/12/2006,"$79,785",0%,United States,Austin,NA
E04769,Mila Leung,Sr. Analyst,Marketing,Corporate,Female,Asian,39,11/05/2007,"$99,017",0%,China,Beijing,NA
E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,04/01/1992,"$53,809",0%,United States,Phoenix,NA
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,04/16/2020,"$71,864",0%,China,Chengdu,NA
E01095,Isla Lai,Vice President,Finance,Corporate,Female,Asian,37,12/06/2011,"$225,558",33%,China,Shanghai,NA
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,02/25/2014,"$128,984",12%,United States,Miami,5/1/2021
E01713,Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,Latino,46,06/20/1999,"$96,997",0%,Brazil,Sao Paulo,NA
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,01/22/2018,"$176,294",28%,United States,Austin,NA
E03849,Evelyn Jung,Analyst,Sales,Research & Development,Female,Asian,30,02/14/2021,"$48,340",0%,China,Beijing,NA
E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,07/06/2017,"$240,488",40%,Brazil,Rio de Janerio,NA
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,01/22/2011,"$97,339",0%,United States,Austin,NA
E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,49,02/28/2003,"$211,291",37%,China,Chongqing,NA
E02783,Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,39,08/23/2011,"$249,506",30%,Brazil,Rio de Janerio,NA
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,61,11/22/2002,"$80,950",0%,China,Chongqing,NA
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,01/10/2021,"$86,538",0%,China,Chengdu,NA
E00170,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,09/07/2019,"$70,992",0%,United States,Austin,NA
E01425,Anthony Rogers,Vice President,Engineering,Corporate,Male,Caucasian,33,06/18/2015,"$205,314",30%,United States,Columbus,NA
E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,03/10/2017,"$196,951",33%,China,Beijing,NA
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,45,09/18/2005,"$67,686",0%,China,Beijing,NA
E03567,Silas Chavez,Technical Architect,IT,Research & Development,Male,Latino,51,04/15/2008,"$86,431",0%,United States,Columbus,NA
E04682,Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,55,11/16/1995,"$125,936",8%,China,Chongqing,NA
E00957,Genesis Perry,Sr. Manger,Sales,Corporate,Female,Caucasian,46,07/18/2013,"$149,712",14%,United States,Columbus,NA
E04458,Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,Caucasian,30,10/02/2021,"$88,758",0%,United States,Seattle,NA
E01499,Elias Zhang,Solutions Architect,IT,Research & Development,Male,Asian,54,07/13/2013,"$83,639",0%,China,Beijing,NA
E00521,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,05/18/1998,"$68,268",0%,United States,Phoenix,NA
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,Latino,45,02/26/2002,"$75,819",0%,Brazil,Sao Paulo,NA
E01533,Avery Bailey,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,49,05/15/1996,"$86,658",0%,United States,Phoenix,NA
E04449,Miles Hsu,Analyst II,Finance,Research & Development,Male,Asian,55,03/16/2014,"$74,552",0%,China,Chengdu,NA
E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,Asian,62,03/15/2009,"$82,839",0%,United States,Miami,NA
E00816,Skylar Watson,Network Architect,IT,Speciality Products,Female,Caucasian,28,10/08/2021,"$64,475",0%,United States,Phoenix,NA
E02283,Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,33,07/24/2020,"$69,453",0%,China,Chengdu,NA
E04888,Elijah Henry,Manager,IT,Corporate,Male,Caucasian,32,01/03/2014,"$127,148",10%,United States,Miami,NA
E03907,Camila Watson,Vice President,Finance,Speciality Products,Female,Caucasian,32,01/02/2018,"$190,253",33%,United States,Austin,NA
E02166,Lucas Thomas,Manager,Accounting,Research & Development,Male,Caucasian,55,04/28/2000,"$115,798",5%,United States,Miami,NA
E00431,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,58,08/21/1994,"$93,102",0%,United States,Seattle,12/13/2013
E01501,Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,11/16/2017,"$110,054",15%,United States,Miami,NA
E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,27,01/28/2021,"$95,786",0%,United States,Chicago,NA
E02254,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,Latino,61,05/03/2017,"$90,855",0%,Brazil,Sao Paulo,NA
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,47,03/14/1999,"$92,897",0%,Brazil,Sao Paulo,NA
E03394,Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,40,02/28/2009,"$242,919",31%,China,Chongqing,NA
E02942,Daniel Richardson,Director,Engineering,Speciality Products,Male,Caucasian,30,05/20/2018,"$184,368",29%,United States,Austin,NA
E04130,Elias Figueroa,Sr. Manger,Finance,Corporate,Male,Latino,45,12/24/2021,"$144,754",15%,United States,Phoenix,NA
E02848,Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,30,12/18/2016,"$89,458",0%,United States,Austin,NA
E00085,Isla Wong,Vice President,Accounting,Corporate,Female,Asian,56,03/16/2014,"$190,815",40%,United States,Austin,NA
E03956,Everly Walker,Sr. Manger,Sales,Research & Development,Female,Caucasian,62,08/02/1999,"$137,995",14%,United States,Austin,NA
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,12/21/2007,"$93,840",0%,Brazil,Manaus,NA
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,10/26/2021,"$94,790",0%,China,Chongqing,NA
E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,48,03/08/2014,"$197,367",39%,United States,Austin,NA
E00568,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,06/25/2018,"$174,097",21%,United States,Phoenix,NA
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,10/31/2006,"$120,128",10%,United States,Austin,NA
E04630,Maria Griffin,Manager,Marketing,Manufacturing,Female,Caucasian,59,04/25/2007,"$129,708",5%,United States,Miami,NA
E00874,Alexander Choi,Manager,Marketing,Research & Development,Male,Asian,55,09/18/1994,"$102,270",10%,United States,Chicago,NA
E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,07/31/2005,"$249,686",31%,China,Chongqing,NA
E00941,Sophie Ali,Analyst,Finance,Manufacturing,Female,Asian,55,03/28/2002,"$50,475",0%,United States,Columbus,NA
E03446,Julian Ross,Manager,Marketing,Research & Development,Male,Caucasian,51,07/02/2020,"$100,099",8%,United States,Miami,NA
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,12/27/2016,"$41,673",0%,United States,Miami,NA
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,07/12/2017,"$70,996",0%,China,Chengdu,NA
E03719,Jack Brown,Analyst,Marketing,Corporate,Male,Caucasian,55,12/07/2004,"$40,752",0%,United States,Phoenix,NA
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,01/23/2001,"$97,537",0%,China,Chengdu,NA
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,09/12/2020,"$96,567",0%,China,Shanghai,NA
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,03/10/1999,"$49,404",0%,China,Beijing,NA
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,10/15/2019,"$66,819",0%,Brazil,Rio de Janerio,NA
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,05/02/2016,"$50,784",0%,Brazil,Rio de Janerio,NA
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,05/09/2019,"$125,828",15%,Brazil,Sao Paulo,NA
E02489,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,33,08/04/2017,"$92,610",0%,United States,Columbus,NA
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,03/25/2003,"$123,405",13%,United States,Columbus,NA
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,46,03/20/2004,"$73,004",0%,China,Beijing,NA
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,04/25/1999,"$95,061",10%,China,Shanghai,NA
E02791,Aubrey Romero,Director,Sales,Corporate,Female,Latino,49,04/02/1998,"$160,832",30%,United States,Phoenix,NA
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,54,12/28/2010,"$64,417",0%,United States,Columbus,NA
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,03/19/2021,"$127,543",6%,China,Shanghai,NA
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,30,06/21/2018,"$56,154",0%,Brazil,Sao Paulo,NA
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,02/22/2014,"$218,530",30%,China,Shanghai,NA
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,12/19/2019,"$91,954",0%,United States,Columbus,NA
E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,09/21/2016,"$221,217",32%,United States,Columbus,9/25/2017
E00697,Jonathan Chavez,System Administrator ,IT,Manufacturing,Male,Latino,29,05/11/2017,"$87,536",0%,United States,Seattle,NA
E02183,Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,47,06/09/2015,"$41,429",0%,United States,Seattle,NA
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,10/10/2011,"$245,482",39%,United States,Seattle,NA
E04288,Ella White,Development Engineer,Engineering,Manufacturing,Female,Caucasian,25,01/20/2020,"$71,359",0%,United States,Phoenix,NA
E02421,Jordan Truong,Director,Engineering,Speciality Products,Male,Asian,45,08/28/2014,"$183,161",22%,United States,Miami,NA
E00523,Daniel Jordan,Network Administrator,IT,Corporate,Male,Caucasian,58,07/26/1993,"$69,260",0%,United States,Phoenix,NA
E03615,Daniel Dixon,Operations Engineer,Engineering,Speciality Products,Male,Caucasian,51,10/09/1999,"$95,639",0%,United States,Austin,NA
E02761,Luca Duong,Manager,Human Resources,Research & Development,Male,Asian,48,06/30/2004,"$120,660",7%,China,Chengdu,NA
